sample_index,preprocess,wavenumber,value
279,raw,1089.0,12497.479999999985
279,raw,1090.0,12152.594999999992
279,raw,1091.0,11915.844999999992
279,raw,1092.0,11695.654999999993
279,raw,1093.0,11494.904999999993
279,raw,1094.0,11304.504999999994
279,raw,1095.0,11126.254999999994
279,raw,1096.0,10988.85427135678
279,raw,1097.0,10899.407035175876
279,raw,1098.0,10849.65
279,raw,1099.0,10844.65
279,raw,1100.0,10821.806532663315
279,raw,1101.0,10778.841708542712
279,raw,1102.0,10729.98
279,raw,1103.0,10674.73
279,raw,1104.0,10657.819095477387
279,raw,1105.0,10682.442211055277
279,raw,1106.0,10693.522613065326
279,raw,1107.0,10690.507537688442
279,raw,1108.0,10688.748743718594
279,raw,1109.0,10688.24623115578
279,raw,1110.0,10711.962311557789
279,raw,1111.0,10758.947236180904
279,raw,1112.0,10776.927135678392
279,raw,1113.0,10768.133165829146
279,raw,1114.0,10787.96984924623
279,raw,1115.0,10833.195979899496
279,raw,1116.0,10887.512562814069
279,raw,1117.0,10949.572864321606
279,raw,1118.0,10988.555276381909
279,raw,1119.0,11008.655778894472
279,raw,1120.0,11050.449494949491
279,raw,1121.0,11109.287878787874
279,raw,1122.0,11173.492462311553
279,raw,1123.0,11241.582914572858
279,raw,1124.0,11364.555555555542
279,raw,1125.0,11525.666666666652
279,raw,1126.0,11694.32575757575
279,raw,1127.0,11867.810606060619
279,raw,1128.0,12012.095477386949
279,raw,1129.0,12139.231155778907
279,raw,1130.0,12266.77777777779
279,raw,1131.0,12394.555555555566
279,raw,1132.0,12497.500000000007
279,raw,1133.0,12587.651515151521
279,raw,1134.0,12635.045454545456
279,raw,1135.0,12662.318181818184
279,raw,1136.0,12634.969696969694
279,raw,1137.0,12584.21212121212
279,raw,1138.0,12560.181818181818
279,raw,1139.0,12546.545454545454
279,raw,1140.0,12492.545454545454
279,raw,1141.0,12424.363636363636
279,raw,1142.0,12404.335025380711
279,raw,1143.0,12399.51269035533
279,raw,1144.0,12489.270202020198
279,raw,1145.0,12604.169191919185
279,raw,1146.0,12719.27272727272
279,raw,1147.0,12834.424242424235
279,raw,1148.0,13063.185279187795
279,raw,1149.0,13315.215736040584
279,raw,1150.0,13626.308080808078
279,raw,1151.0,13947.015151515183
279,raw,1152.0,14317.17512690359
279,raw,1153.0,14694.078680203076
279,raw,1154.0,15149.048223350286
279,raw,1155.0,15611.738578680228
279,raw,1156.0,16236.185279187845
279,raw,1157.0,16870.956852791896
279,raw,1158.0,17730.50253807108
279,raw,1159.0,18597.0
279,raw,1160.0,19527.203045685266
279,raw,1161.0,20460.992385786773
279,raw,1162.0,21510.73857868016
279,raw,1163.0,22552.687817258833
279,raw,1164.0,23472.48477157354
279,raw,1165.0,24355.459390862903
279,raw,1166.0,24866.11928934005
279,raw,1167.0,25314.826530612245
279,raw,1168.0,25309.214285714286
279,raw,1169.0,25246.95685279185
279,raw,1170.0,24887.312182741094
279,raw,1171.0,24478.267857142826
279,raw,1172.0,23858.624999999978
279,raw,1173.0,23225.75380710659
279,raw,1174.0,22548.596446700507
279,raw,1175.0,21861.984693877563
279,raw,1176.0,21148.464285714308
279,raw,1177.0,20420.25000000004
279,raw,1178.0,19657.750000000055
279,raw,1179.0,18871.744897959223
279,raw,1180.0,18040.11224489792
279,raw,1181.0,17244.540816326455
279,raw,1182.0,16507.806122448917
279,raw,1183.0,15821.32142857139
279,raw,1184.0,15204.229591836705
279,raw,1185.0,14639.005102040803
279,raw,1186.0,14134.668367346934
279,raw,1187.0,13676.505102040821
279,raw,1188.0,13264.515306122461
279,raw,1189.0,12882.831632653078
279,raw,1190.0,12526.964285714308
279,raw,1191.0,12176.423469387784
279,raw,1192.0,11829.739795918402
279,raw,1193.0,11529.487179487194
